family,sales
GROCERY I,343462734.886
BEVERAGES,216954486.0
PRODUCE,122704684.67646
CLEANING,97521289.0
DAIRY,64487709.0
BREAD/BAKERY,42133945.576369
POULTRY,31876004.471721
MEATS,31086468.4040749
PERSONAL CARE,24592051.0
DELI,24110322.468767
HOME CARE,16022744.0
EGGS,15588296.0
FROZEN FOODS,14073887.7199105
PREPARED FOODS,8799895.1169425
"LIQUOR,WINE,BEER",7746640.0
SEAFOOD,2015431.8828236
GROCERY II,1962767.0
HOME AND KITCHEN I,1861491.0
HOME AND KITCHEN II,1520670.0
CELEBRATION,761177.0
LINGERIE,653114.0
LADIESWEAR,651159.0
PLAYERS AND ELECTRONICS,562608.0
AUTOMOTIVE,554822.0
LAWN AND GARDEN,548842.0
PET SUPPLIES,356584.0
BEAUTY,337893.0
SCHOOL AND OFFICE SUPPLIES,269316.0
MAGAZINES,266359.0
HARDWARE,103470.0
HOME APPLIANCES,41601.0
BABY CARE,10051.0
BOOKS,6438.0
