store_nbr,sales
1,14145012.8696541
2,21557388.6445642
3,50481910.185082
4,18909700.380001
5,15592404.5723532
6,25183679.997054
7,26952049.582971
8,30494286.928015
9,26409441.0647935
10,9613905.735863
11,28325558.481396
12,10659217.957236
13,10523045.81794
14,11387918.748218
15,11451270.022648
16,10986412.5547492
17,18030969.250161
18,13259375.6899043
19,13049509.836733
20,12920954.5928321
21,9255505.91021
22,4090201.7408
23,11651380.6749087
24,23767732.701713
25,11420997.8725745
26,7755121.8918648
27,19188021.3815342
28,18383154.8339259
29,9725157.696084
30,7382073.663963
31,17746872.701507
32,5951795.9975515
33,14178501.293449
34,17090734.15915
35,7676679.4216696
36,15322431.096578
37,19970635.6144784
38,18859999.2605296
39,20252192.53354
40,18395757.405968
41,14991039.1385844
42,8945767.8851627
43,16391692.2119096
44,62087553.250089
45,54498010.416674
46,41896062.1216342
47,50948310.061006
48,35933130.2739365
49,43420095.783768
50,28653020.6246953
51,32911489.537604
52,2696169.733249
53,11216167.2826831
54,11057483.1179049
